text,label
Follow us on executive team,irrelevant
Refugee support for migrants via Microsoft in coding,relevant
Celebrate with us at photo gallery,irrelevant
Meet our board of directors,irrelevant
Skill development in immigrants via Google in networking,relevant
Certification course in refugees via Amazon in coding,relevant
Career coaching for immigrants via Microsoft in digital marketing,relevant
Remote internship in refugees via UNHCR in digital marketing,relevant
See photos from volunteer dinner,irrelevant
Hiring initiative for displaced persons via LinkedIn in coding,relevant
Meet our photo gallery,irrelevant
Hiring initiative for migrants via UNHCR in machine learning,relevant
Follow us on terms of service,irrelevant
Tuition-free refugees via Khan Academy in data science,relevant
Support our photo gallery,irrelevant
Certification course in Ukrainian refugees via edX in technology,relevant
Support our privacy policy,irrelevant
Mentorship program for displaced persons via LinkedIn in coding,relevant
Download the executive team,irrelevant
Job opportunity for refugee women via Cisco in cybersecurity,relevant
Follow us on executive team,irrelevant
Training program for immigrants via Cisco in English language,relevant
Free access to displaced persons via Upwork in finance,relevant
Visit our page on executive team,irrelevant
Refugee support for Syrian refugees via UNHCR in English language,relevant
Download the annual report,irrelevant
Job opportunity for refugees via Khan Academy in networking,relevant
Watch highlights from newsletter,irrelevant
Online course in migrants via Amazon in machine learning,relevant
Free access to newcomers via Amazon in machine learning,relevant
Skill development in newcomers via edX in healthcare,relevant
Tuition-free refugees via Microsoft in finance,relevant
Celebrate with us at fundraising campaign,irrelevant
Mentorship program for asylum seekers via LinkedIn in networking,relevant
Celebrate with us at terms of service,irrelevant
Read our volunteer dinner,irrelevant
Career coaching for displaced persons via Coursera in networking,relevant
Read our board of directors,irrelevant
Online course in Syrian refugees via Microsoft in business,relevant
Watch highlights from volunteer dinner,irrelevant
Employment assistance in Syrian refugees via LinkedIn in healthcare,relevant
Online course in Afghan refugees via Cisco in technology,relevant
Mentorship program for migrants via Udemy in coding,relevant
Job opportunity for refugee women via Khan Academy in cybersecurity,relevant
Download the executive team,irrelevant
Employment assistance in asylum seekers via Upwork in business,relevant
Refugee support for asylum seekers via Cisco in networking,relevant
Skill development in asylum seekers via Microsoft in coding,relevant
See photos from privacy policy,irrelevant
Meet our branding kit,irrelevant
Meet our photo gallery,irrelevant
Celebrate with us at volunteer dinner,irrelevant
Employment assistance in refugees via Open University in data science,relevant
Meet our privacy policy,irrelevant
Celebrate with us at annual report,irrelevant
Download the photo gallery,irrelevant
Free access to Syrian refugees via edX in digital marketing,relevant
Mentorship program for displaced persons via Open University in healthcare,relevant
Follow us on terms of service,irrelevant
Free access to newcomers via Google in technology,relevant
Follow us on board of directors,irrelevant
Employment assistance in refugee women via Microsoft in networking,relevant
Online course in asylum seekers via Coursera in finance,relevant
Download the newsletter,irrelevant
Job opportunity for Syrian refugees via Khan Academy in English language,relevant
Training program for Afghan refugees via Khan Academy in finance,relevant
Watch highlights from branding kit,irrelevant
Celebrate with us at newsletter,irrelevant
Watch highlights from branding kit,irrelevant
Visit our page on newsletter,irrelevant
See photos from board of directors,irrelevant
Career coaching for migrants via Open University in AI,relevant
Tuition-free newcomers via Khan Academy in data science,relevant
Apply now for Syrian refugees via Coursera in networking,relevant
Hiring initiative for asylum seekers via edX in finance,relevant
Job opportunity for newcomers via Coursera in English language,relevant
Watch highlights from annual report,irrelevant
Online course in migrants via Cisco in AI,relevant
Celebrate with us at annual report,irrelevant
Training program for migrants via Khan Academy in cybersecurity,relevant
Online course in newcomers via UNHCR in coding,relevant
Remote internship in Syrian refugees via LinkedIn in finance,relevant
Apply now for refugee women via Amazon in digital marketing,relevant
Mentorship program for displaced persons via Google in digital marketing,relevant
See photos from fundraising campaign,irrelevant
Scholarship available for displaced persons via Microsoft in finance,relevant
Career coaching for Ukrainian refugees via Cisco in technology,relevant
Apply now for Syrian refugees via Udemy in coding,relevant
Visit our page on annual report,irrelevant
Support our branding kit,irrelevant
Support our photo gallery,irrelevant
Refugee support for refugees via LinkedIn in business,relevant
Career coaching for displaced persons via Google in business,relevant
Scholarship available for migrants via LinkedIn in machine learning,relevant
Job opportunity for Ukrainian refugees via edX in technology,relevant
Learn about privacy policy,irrelevant
Learn about fundraising campaign,irrelevant
Skill development in asylum seekers via Khan Academy in AI,relevant
Hiring initiative for Syrian refugees via Khan Academy in English language,relevant
Skill development in refugees via Udemy in data science,relevant
Career coaching for refugees via edX in technology,relevant
Training program for refugees via edX in finance,relevant
Watch highlights from board of directors,irrelevant
Certification course in refugees via Khan Academy in AI,relevant
Online course in Ukrainian refugees via Udemy in technology,relevant
Refugee support for immigrants via Coursera in healthcare,relevant
Support our board of directors,irrelevant
Coding bootcamp for newcomers via Open University in technology,relevant
Visit our page on branding kit,irrelevant
Follow us on newsletter,irrelevant
Online course in Afghan refugees via LinkedIn in technology,relevant
Celebrate with us at fundraising campaign,irrelevant
Read our board of directors,irrelevant
Scholarship available for refugee women via Amazon in digital marketing,relevant
Read our branding kit,irrelevant
Skill development in newcomers via Open University in finance,relevant
Celebrate with us at fundraising campaign,irrelevant
Certification course in migrants via Khan Academy in technology,relevant
Employment assistance in newcomers via Google in data science,relevant
Career coaching for refugee women via Khan Academy in coding,relevant
Learn about photo gallery,irrelevant
Meet our annual report,irrelevant
Support our volunteer dinner,irrelevant
Remote internship in displaced persons via Amazon in coding,relevant
Watch highlights from annual report,irrelevant
Employment assistance in immigrants via Open University in digital marketing,relevant
Employment assistance in refugee women via Upwork in machine learning,relevant
Training program for Afghan refugees via Open University in technology,relevant
Learn about privacy policy,irrelevant
Hiring initiative for newcomers via Amazon in technology,relevant
See photos from fundraising campaign,irrelevant
Refugee support for refugees via Amazon in machine learning,relevant
Online course in refugee women via Upwork in machine learning,relevant
Meet our board of directors,irrelevant
Learn about terms of service,irrelevant
Learn about volunteer dinner,irrelevant
Visit our page on fundraising campaign,irrelevant
Certification course in refugees via Upwork in coding,relevant
Refugee support for Ukrainian refugees via LinkedIn in English language,relevant
Learn about volunteer dinner,irrelevant
Refugee support for newcomers via Coursera in healthcare,relevant
Watch highlights from privacy policy,irrelevant
Support our branding kit,irrelevant
Download the annual report,irrelevant
Online course in refugees via UNHCR in healthcare,relevant
Celebrate with us at board of directors,irrelevant
Read our fundraising campaign,irrelevant
Download the executive team,irrelevant
Visit our page on annual report,irrelevant
Training program for Ukrainian refugees via Coursera in coding,relevant
Apply now for refugees via edX in AI,relevant
Hiring initiative for displaced persons via Amazon in English language,relevant
Follow us on board of directors,irrelevant
Read our board of directors,irrelevant
Visit our page on board of directors,irrelevant
Career coaching for displaced persons via Amazon in technology,relevant
Follow us on newsletter,irrelevant
Online course in refugee women via UNHCR in coding,relevant
Learn about privacy policy,irrelevant
Training program for Afghan refugees via Udemy in machine learning,relevant
Meet our terms of service,irrelevant
See photos from privacy policy,irrelevant
Celebrate with us at board of directors,irrelevant
Apply now for Ukrainian refugees via UNHCR in digital marketing,relevant
Learn about privacy policy,irrelevant
Skill development in newcomers via edX in AI,relevant
Meet our volunteer dinner,irrelevant
Apply now for displaced persons via Cisco in healthcare,relevant
Job opportunity for Ukrainian refugees via Google in cybersecurity,relevant
Watch highlights from terms of service,irrelevant
Support our executive team,irrelevant
Coding bootcamp for refugees via Open University in healthcare,relevant
Career coaching for refugee women via Google in networking,relevant
Meet our terms of service,irrelevant
Career coaching for migrants via Cisco in business,relevant
Read our annual report,irrelevant
Career coaching for Afghan refugees via Khan Academy in AI,relevant
See photos from privacy policy,irrelevant
Support our privacy policy,irrelevant
Learn about branding kit,irrelevant
Online course in refugee women via Amazon in networking,relevant
See photos from fundraising campaign,irrelevant
Watch highlights from fundraising campaign,irrelevant
Skill development in refugee women via Google in machine learning,relevant
Learn about newsletter,irrelevant
Visit our page on board of directors,irrelevant
Meet our newsletter,irrelevant
Certification course in newcomers via Coursera in business,relevant
Training program for asylum seekers via LinkedIn in English language,relevant
Support our photo gallery,irrelevant
Scholarship available for refugee women via LinkedIn in healthcare,relevant
Support our photo gallery,irrelevant
Skill development in newcomers via Microsoft in English language,relevant
Learn about board of directors,irrelevant
Support our photo gallery,irrelevant
See photos from photo gallery,irrelevant
Skill development in refugee women via Khan Academy in finance,relevant
Watch highlights from board of directors,irrelevant
Hiring initiative for Ukrainian refugees via Amazon in English language,relevant
Job opportunity for Ukrainian refugees via UNHCR in networking,relevant
Support our executive team,irrelevant
See photos from executive team,irrelevant
Remote internship in Afghan refugees via Amazon in technology,relevant
Watch highlights from terms of service,irrelevant
Free access to migrants via Microsoft in AI,relevant
Watch highlights from terms of service,irrelevant
Apply now for Ukrainian refugees via Khan Academy in finance,relevant
Support our privacy policy,irrelevant
Apply now for refugees via Khan Academy in networking,relevant
Hiring initiative for Ukrainian refugees via UNHCR in machine learning,relevant
Support our branding kit,irrelevant
Training program for asylum seekers via Open University in cybersecurity,relevant
Apply now for newcomers via Open University in cybersecurity,relevant
Watch highlights from board of directors,irrelevant
Scholarship available for migrants via Google in coding,relevant
Career coaching for newcomers via UNHCR in cybersecurity,relevant
Support our privacy policy,irrelevant
Certification course in immigrants via Udemy in technology,relevant
Support our board of directors,irrelevant
Coding bootcamp for newcomers via Open University in finance,relevant
Free access to Syrian refugees via Amazon in English language,relevant
Career coaching for Afghan refugees via Coursera in digital marketing,relevant
Employment assistance in Syrian refugees via edX in coding,relevant
Apply now for refugee women via Upwork in business,relevant
Skill development in newcomers via Google in technology,relevant
Job opportunity for migrants via UNHCR in machine learning,relevant
Apply now for immigrants via Cisco in networking,relevant
Watch highlights from privacy policy,irrelevant
Watch highlights from privacy policy,irrelevant
Celebrate with us at privacy policy,irrelevant
Employment assistance in migrants via Khan Academy in coding,relevant
Skill development in Syrian refugees via edX in finance,relevant
Tuition-free newcomers via UNHCR in AI,relevant
Tuition-free displaced persons via Amazon in English language,relevant
Skill development in migrants via Open University in finance,relevant
Watch highlights from board of directors,irrelevant
Read our executive team,irrelevant
Employment assistance in refugee women via Udemy in finance,relevant
Skill development in Afghan refugees via edX in digital marketing,relevant
Skill development in newcomers via Amazon in English language,relevant
Celebrate with us at newsletter,irrelevant
Watch highlights from annual report,irrelevant
Support our terms of service,irrelevant
Mentorship program for newcomers via Cisco in healthcare,relevant
Apply now for displaced persons via UNHCR in coding,relevant
Read our board of directors,irrelevant
Celebrate with us at terms of service,irrelevant
Read our newsletter,irrelevant
Tuition-free Afghan refugees via Upwork in healthcare,relevant
Visit our page on newsletter,irrelevant
Scholarship available for migrants via Amazon in data science,relevant
Training program for newcomers via Khan Academy in cybersecurity,relevant
Refugee support for refugee women via Udemy in English language,relevant
Training program for Ukrainian refugees via UNHCR in digital marketing,relevant
Employment assistance in refugee women via Coursera in cybersecurity,relevant
Tuition-free refugee women via Cisco in business,relevant
Career coaching for migrants via Udemy in healthcare,relevant
Career coaching for newcomers via Open University in finance,relevant
Follow us on executive team,irrelevant
Online course in displaced persons via edX in business,relevant
Training program for newcomers via Upwork in cybersecurity,relevant
Follow us on board of directors,irrelevant
Watch highlights from board of directors,irrelevant
Mentorship program for refugees via Upwork in cybersecurity,relevant
Watch highlights from privacy policy,irrelevant
Training program for refugees via edX in business,relevant
See photos from branding kit,irrelevant
Celebrate with us at photo gallery,irrelevant
Tuition-free newcomers via Upwork in finance,relevant
Tuition-free displaced persons via Amazon in coding,relevant
Tuition-free Ukrainian refugees via Coursera in digital marketing,relevant
Hiring initiative for migrants via Cisco in technology,relevant
Read our photo gallery,irrelevant
Celebrate with us at newsletter,irrelevant
See photos from annual report,irrelevant
Skill development in migrants via Cisco in networking,relevant
Support our annual report,irrelevant
Celebrate with us at fundraising campaign,irrelevant
Watch highlights from newsletter,irrelevant
Download the fundraising campaign,irrelevant
Download the volunteer dinner,irrelevant
Visit our page on branding kit,irrelevant
Watch highlights from branding kit,irrelevant
Celebrate with us at branding kit,irrelevant
Job opportunity for asylum seekers via LinkedIn in machine learning,relevant
Free access to migrants via Udemy in AI,relevant
Watch highlights from terms of service,irrelevant
Coding bootcamp for refugees via LinkedIn in networking,relevant
Visit our page on board of directors,irrelevant
Certification course in refugees via Open University in data science,relevant
Watch highlights from board of directors,irrelevant
Certification course in Syrian refugees via Khan Academy in AI,relevant
Coding bootcamp for Ukrainian refugees via Coursera in data science,relevant
Skill development in refugee women via Udemy in AI,relevant
Employment assistance in newcomers via Coursera in healthcare,relevant
Job opportunity for refugees via LinkedIn in cybersecurity,relevant
Scholarship available for refugee women via LinkedIn in cybersecurity,relevant
Free access to Ukrainian refugees via Open University in digital marketing,relevant
Certification course in refugees via LinkedIn in machine learning,relevant
See photos from volunteer dinner,irrelevant
Online course in Ukrainian refugees via LinkedIn in AI,relevant
Online course in asylum seekers via UNHCR in coding,relevant
Skill development in refugees via Cisco in English language,relevant
Tuition-free Ukrainian refugees via UNHCR in technology,relevant
Follow us on fundraising campaign,irrelevant
Mentorship program for displaced persons via Amazon in healthcare,relevant
Learn about annual report,irrelevant
Download the photo gallery,irrelevant
Free access to asylum seekers via Coursera in digital marketing,relevant
Watch highlights from annual report,irrelevant
Support our terms of service,irrelevant
Employment assistance in refugee women via Cisco in technology,relevant
Follow us on fundraising campaign,irrelevant
Tuition-free refugees via Open University in networking,relevant
Apply now for refugee women via Microsoft in AI,relevant
Visit our page on board of directors,irrelevant
Read our photo gallery,irrelevant
Visit our page on board of directors,irrelevant
Employment assistance in Syrian refugees via edX in business,relevant
Online course in asylum seekers via Khan Academy in cybersecurity,relevant
Career coaching for newcomers via Open University in networking,relevant
Refugee support for refugee women via Open University in machine learning,relevant
Career coaching for Ukrainian refugees via Open University in healthcare,relevant
Follow us on branding kit,irrelevant
Job opportunity for Ukrainian refugees via UNHCR in AI,relevant
Career coaching for displaced persons via Microsoft in cybersecurity,relevant
Refugee support for Ukrainian refugees via Upwork in coding,relevant
Employment assistance in newcomers via Khan Academy in finance,relevant
Scholarship available for Ukrainian refugees via UNHCR in cybersecurity,relevant
Coding bootcamp for newcomers via UNHCR in coding,relevant
Tuition-free refugees via Microsoft in technology,relevant
Read our privacy policy,irrelevant
Employment assistance in refugees via Open University in networking,relevant
Download the fundraising campaign,irrelevant
See photos from executive team,irrelevant
Meet our privacy policy,irrelevant
Watch highlights from privacy policy,irrelevant
Apply now for migrants via Amazon in technology,relevant
Visit our page on fundraising campaign,irrelevant
Hiring initiative for refugees via Udemy in business,relevant
Learn about fundraising campaign,irrelevant
Employment assistance in newcomers via Amazon in healthcare,relevant
Free access to refugee women via edX in AI,relevant
Meet our board of directors,irrelevant
See photos from terms of service,irrelevant
Support our volunteer dinner,irrelevant
Follow us on board of directors,irrelevant
Certification course in migrants via Coursera in coding,relevant
Career coaching for asylum seekers via Upwork in machine learning,relevant
Certification course in refugee women via UNHCR in AI,relevant
Learn about photo gallery,irrelevant
Training program for refugees via Cisco in data science,relevant
Learn about terms of service,irrelevant
Online course in refugees via UNHCR in machine learning,relevant
Scholarship available for Ukrainian refugees via edX in data science,relevant
Job opportunity for refugees via Google in coding,relevant
Support our executive team,irrelevant
Read our executive team,irrelevant
Follow us on volunteer dinner,irrelevant
Visit our page on photo gallery,irrelevant
Celebrate with us at privacy policy,irrelevant
Scholarship available for Syrian refugees via Open University in business,relevant
Remote internship in immigrants via Udemy in coding,relevant
Read our privacy policy,irrelevant
Refugee support for Syrian refugees via LinkedIn in cybersecurity,relevant
Tuition-free Ukrainian refugees via Udemy in digital marketing,relevant
Refugee support for Ukrainian refugees via Udemy in data science,relevant
Refugee support for displaced persons via Upwork in healthcare,relevant
Apply now for immigrants via LinkedIn in cybersecurity,relevant
Skill development in Afghan refugees via Coursera in English language,relevant
Job opportunity for Ukrainian refugees via LinkedIn in business,relevant
Job opportunity for refugees via Upwork in digital marketing,relevant
Mentorship program for newcomers via Open University in technology,relevant
Scholarship available for asylum seekers via Upwork in healthcare,relevant
Skill development in Syrian refugees via Coursera in machine learning,relevant
Career coaching for newcomers via UNHCR in AI,relevant
Mentorship program for Ukrainian refugees via edX in networking,relevant
Read our privacy policy,irrelevant
Mentorship program for newcomers via Open University in business,relevant
Support our branding kit,irrelevant
Apply now for refugees via UNHCR in cybersecurity,relevant
Meet our annual report,irrelevant
Employment assistance in refugee women via Open University in technology,relevant
Free access to Afghan refugees via Udemy in networking,relevant
Tuition-free asylum seekers via edX in data science,relevant
Coding bootcamp for migrants via UNHCR in AI,relevant
Tuition-free asylum seekers via Upwork in machine learning,relevant
Online course in displaced persons via Amazon in coding,relevant
Read our branding kit,irrelevant
Scholarship available for asylum seekers via Khan Academy in business,relevant
Meet our volunteer dinner,irrelevant
Support our photo gallery,irrelevant
Download the executive team,irrelevant
Remote internship in migrants via Upwork in networking,relevant
Scholarship available for Afghan refugees via Amazon in networking,relevant
Support our photo gallery,irrelevant
Coding bootcamp for Syrian refugees via Upwork in data science,relevant
Celebrate with us at volunteer dinner,irrelevant
Watch highlights from annual report,irrelevant
Celebrate with us at photo gallery,irrelevant
Watch highlights from privacy policy,irrelevant
Training program for migrants via Amazon in digital marketing,relevant
Refugee support for newcomers via edX in data science,relevant
Career coaching for migrants via LinkedIn in machine learning,relevant
Apply now for Afghan refugees via Udemy in technology,relevant
Learn about branding kit,irrelevant
Visit our page on executive team,irrelevant
Free access to migrants via Khan Academy in digital marketing,relevant
Skill development in immigrants via Google in digital marketing,relevant
Tuition-free refugee women via Coursera in cybersecurity,relevant
Learn about privacy policy,irrelevant
Certification course in newcomers via Upwork in digital marketing,relevant
Celebrate with us at annual report,irrelevant
Scholarship available for refugee women via Khan Academy in English language,relevant
Skill development in displaced persons via Cisco in AI,relevant
Watch highlights from branding kit,irrelevant
Employment assistance in refugees via Upwork in digital marketing,relevant
Employment assistance in refugees via Coursera in AI,relevant
Apply now for migrants via LinkedIn in technology,relevant
Scholarship available for Ukrainian refugees via edX in finance,relevant
Read our fundraising campaign,irrelevant
Scholarship available for asylum seekers via Google in finance,relevant
Watch highlights from executive team,irrelevant
Remote internship in displaced persons via UNHCR in cybersecurity,relevant
Meet our terms of service,irrelevant
Certification course in refugee women via Khan Academy in healthcare,relevant
Meet our fundraising campaign,irrelevant
Follow us on volunteer dinner,irrelevant
Meet our executive team,irrelevant
Mentorship program for refugees via Upwork in business,relevant
Training program for Afghan refugees via Udemy in networking,relevant
